English name,Chinese name,email domain
S.K.H. Lam Kau Mow Secondary School,聖公會林裘謀中學,skhlkmss.edu.hk
S.K.H. Lam Woo Memorial Secondary School,聖公會林護紀念中學,lamwoo.edu.hk
S.K.H. Leung Kwai Yee Secondary School,聖公會梁季彜中學,skhlkyss.edu.hk
S.K.H. Li Ping Secondary School,聖公會李炳中學,liping.edu.hk
S.K.H. Lui Ming Choi Secondary School,聖公會呂明才中學,skhlmc.edu.hk
S.K.H. St. Benedict's School,聖公會聖本德中學,skhsbs.edu.hk
S.K.H. St. Mary's Church Mok Hing Yiu College,聖公會聖馬利亞堂莫慶堯中學,smcc.edu.hk
S.K.H. St. Simon's Lui Ming Choi Secondary School,聖公會聖西門呂明才中學,skhsslmc.edu.hk
S.K.H. Tang Shiu Kin Secondary School,聖公會鄧肇堅中學,tsk.edu.hk
S.K.H. Tsang Shiu Tim Secondary School,聖公會曾肇添中學,skhtst.edu.hk
Sacred Heart Canossian College,嘉諾撒聖心書院,shcc.edu.hk
SALEM-Immanuel Lutheran College,南亞路德會沐恩中學,ilc.edu.hk
Salesian English School,慈幼英文學校,ssshk.edu.hk
Salesians of Don Bosco Ng Siu Mui Secondary School,天主教慈幼會伍少梅中學,sdbnsm.edu.hk
San Wui Commercial Soc. Chan Pak Sha School,新會商會陳白沙紀念中學,cpss.edu.hk
San Wui Commercial Society Secondary School,新會商會中學,swcs.edu.hk
Scientia Secondary School,創知中學,scientia.edu.hk
Semple Memorial Secondary School,深培中學,semple.edu.hk
Sha Tin Government Secondary School,沙田官立中學,stgss.edu.hk
Sha Tin Methodist College,沙田循道衞理中學,stmc.edu.hk
Shatin Pui Ying College,沙田培英中學,pyc.edu.hk
Shatin Tsung Tsin Secondary School,沙田崇真中學,sttss.edu.hk
Shau Kei Wan East Government Secondary School,筲箕灣東官立中學,365.skwegss.edu.hk
Shek Lei Catholic Secondary School,石籬天主教中學,slc.edu.hk
Shun Lee Catholic Secondary School,順利天主教中學,slcss.edu.hk
Shun Tak Fraternal Association Cheng Yu Tung Secondary School,順德聯誼總會鄭裕彤中學,cyt.edu.hk
Shun Tak Fraternal Association Lee Shau Kee College,順德聯誼總會李兆基中學,lskc.edu.hk
Shun Tak Fraternal Association Leung Kau Kui College,順德聯誼總會梁銶琚中學,lkkc.edu.hk
Shun Tak Fraternal Association Tam Pak Yu College,順德聯誼總會譚伯羽中學,tpyc.edu.hk
Shun Tak Fraternal Association Yung Yau College,順德聯誼總會翁祐中學,stfa-yyc.edu.hk
Shung Tak Catholic English College,天主教崇德英文書院,stc.edu.hk
Sing Yin Secondary School,聖言中學,singyin.edu.hk
SKH Bishop Mok Sau Tseng Secondary School,聖公會莫壽增會督中學,mst.edu.hk
SKH Holy Carpenter Secondary School,聖公會聖匠中學,hcs.edu.hk
SKH Li Fook Hing Secondary School,聖公會李福慶中學,lfh.edu.hk
SKH Tsoi Kung Po Secondary School,聖公會蔡功譜中學,tkp.edu.hk
SPHRC Kung Yik She Secondary School,十八鄉鄉事委員會公益社中學,sphrc.edu.hk
St. Antonius Girls' College,聖安當女書院,sagc.edu.hk
St. Bonaventure College & High School,聖文德書院,sbc.edu.hk
St. Catharine's School for Girls,聖傑靈女子中學,scsg.edu.hk
St. Clare's Girls' School,聖嘉勒女書院,stclare.hk
St. Francis of Assisi's College,聖芳濟各書院,sfac.edu.hk
St. Francis Xavier's College,聖芳濟書院,sfxc.edu.hk
St. Francis Xavier's School Tsuen Wan,荃灣聖芳濟中學,sfxs.edu.hk
St. Francis' Canossian College,嘉諾撒聖方濟各書院,sfcc.edu.hk
St. Joan of Arc Secondary School,聖貞德中學,sja.edu.hk
St. Joseph's Anglo-Chinese School,聖若瑟英文中學,sjacs.edu.hk
St. Joseph's College,聖若瑟書院,sjc.edu.hk
St. Louis School,聖類斯中學,stlouis.edu.hk
St. Margaret's Co-Educational English Secondary and Primary School,聖瑪加利男女英文中小學,smcesps.edu.hk
St. Mark's School,聖馬可中學,stmarks.edu.hk
St. Mary's Canossian College,嘉諾撒聖瑪利書院,smcc.hk
St. Paul's College,聖保羅書院,std.stpaulscollege.edu.hk
St. Paul's School (Lam Tin),藍田聖保祿中學,spslt.edu.hk
St. Paul's Secondary School,聖保祿中學,spss.edu.hk
St. Peter's Secondary School,聖伯多祿中學,stpeter.edu.hk
St. Rose of Lima's College,聖羅撒書院,hksrl.edu.hk
St. Stephen's Church College,聖士提反堂中學,sscc.edu.hk
St. Stephen's Girls' College,聖士提反女子中學,ssgc.edu.hk
St. Teresa Secondary School,德蘭中學,stteresa.edu.hk
Stewards MKMCF Ma Ko Pan Memorial College,馬錦明慈善基金馬可賓紀念中學,makopan.edu.hk
Stewards Pooi Tun Secondary School,香港神託會培敦中學,pooitun.edu.hk
STFA Seaward Woo College,順德聯誼總會胡兆熾中學,stfaswc.edu.hk
Tack Ching Girls' Secondary School,德貞女子中學,tackching.edu.hk
Tai Po Sam Yuk Secondary School,大埔三育中學,tpsy.edu.hk
Tak Nga Secondary School,德雅中學,taknga.edu.hk
Tak Oi Secondary School,德愛中學,takoi.edu.hk
Tak Sun Secondary School,德信中學,tsss.edu.hk
Tang King Po School,鄧鏡波學校,tangkingpo.edu.hk
The Chinese Foundation Secondary School,中華基金中學,cfss.edu.hk
The Hong Kong Management Association K. S. Lo College,香港管理專業協會羅桂祥中學,hkmakslo.edu.hk
The Hong Kong Taoist Association Ching Chung Secondary School,香港道教聯合會青松中學,ccss.edu.hk
The Methodist Church HK Wesley College,衞理中學,mcw.edu.hk
The Methodist Lee Wai Lee College,李惠利中學,lwlc.edu.hk
The Mission Covenant Church Holm Glad College,基督教聖約教會堅樂中學,holmglad.edu.hk
The True Light School of Hong Kong,香港真光中學,tlmshk.edu.hk
The Y.W.C.A. Hioe Tjo Yoeng College,基督教女青年會丘佐榮中學,htyc.edu.hk
The Yuen Yuen Institute MFBM Nei Ming Chan Lui Chung Tak Mem. College,圓玄學院妙法寺內明陳呂重德紀念中學,clctmc.edu.hk
TIACC Woo Hon Fai Secondary School,紡織學會美國商會胡漢輝中學,tiaccwhf.edu.hk
Tin Ka Ping Secondary School,田家炳中學,web.tkpss.edu.hk
Tin Shui Wai Methodist College,天水圍循道衞理中學,tswmc.edu.hk
Toi Shan Association College,台山商會中學,tsac.edu.hk
Toi Shan Association College,台山商會中學,go.tsac.edu.hk
True Light Girls' College,真光女書院,tlgc.edu.hk
Tsang Pik Shan (Sung Lan) Secondary School,曾璧山（崇蘭）中學,tpsslss.edu.hk
Tseung Kwan O Government Secondary School,將軍澳官立中學,tkogss.edu.hk
Tsuen Wan Public Ho Chuen Yiu Memorial College,荃灣公立何傳耀紀念中學,twphcymc.edu.hk
Tsung Tsin College,崇真書院,ttc.edu.hk
Tuen Mun Catholic Secondary School,屯門天主教中學,home.tmcss.edu.hk
Tuen Mun Government Secondary School,屯門官立中學,mail.tmgss.edu.hk
Tung Chung Catholic School,東涌天主教學校,tccs.edu.hk
TWGHs C.Y. Ma Memorial College,東華三院馬振玉紀念中學,cyma.edu.hk
TWGHs Chang Ming Thien College,東華三院張明添中學,twghcmts.edu.hk
TWGHs Chen Zao Men College,東華三院陳兆民中學,twghczm.edu.hk
TWGHs Kap Yan Directors' College,東華三院甲寅年總理中學,twghkyds.edu.hk
TWGHs Kwok Yat Wai College,東華三院郭一葦中學,twghkywc.edu.hk
TWGHs Lee Ching Dea Memorial College,東華三院李潤田紀念中學,lcdmc.edu.hk
TWGHs Mr & Mrs Kwong Sik Kwan College,東華三院鄺錫坤伉儷中學,twghsksk.edu.hk
TWGHs Mrs. Fung Wong Fung Ting College,東華三院馮黃鳳亭中學,mail.twghfwfts.edu.hk
TWGHs S. C. Gaw Memorial College,東華三院吳祥川紀念中學,twghscgms.edu.hk
TWGHs Sun Hoi Directors' College,東華三院辛亥年總理中學,shd.edu.hk
TWGHs Wong Fung Ling College,東華三院黃鳳翎中學,twghwflc.edu.hk
TWGHs Yau Tze Tin Memorial College,東華三院邱子田紀念中學,ytt.edu.hk
United Christian College,滙基書院,ucc.edu.hk
Valtorta College,恩主教書院,valtorta.edu.hk
Wa Ying College,華英中學,waying.edu.hk
Wah Yan College Hong Kong,香港華仁書院,wahyan.edu.hk
"Wah Yan College, Kowloon",華仁書院（九龍）,wyk.edu.hk
Wai Kiu College,惠僑英文中學,wkc.edu.hk
WEO Chang Pui Chung Memorial School,威靈頓教育機構張沛松紀念中學,cpc.edu.hk
Wong Shiu Chi Secondary School,王肇枝中學,wscss.edu.hk
Yan Chai Hospital Lan Chi Pat Memorial Secondary School,仁濟醫院靚次伯紀念中學,lcp.mysch.net
Yan Chai Hospital Law Chan Chor Si College,仁濟醫院羅陳楚思中學,ychlccsc.edu.hk
Yan Chai Hospital No. 2 Secondary School,仁濟醫院第二中學,ych2ss.edu.hk
Yan Chai Hospital Tung Chi Ying Memorial Secondary School,仁濟醫院董之英紀念中學,ychtcy.edu.hk
Yan Chai Hospital Wong Wha San Secondary School,仁濟醫院王華湘中學,ychwwsss.edu.hk
Yan Oi Tong Chan Wong Suk Fong Memorial Secondary School,仁愛堂陳黃淑芳紀念中學,yotcwsf.edu.hk
Yan Oi Tong Tin Ka Ping Secondary School,仁愛堂田家炳中學,yottkp.edu.hk
YCH Lim Por Yen Secondary School,仁濟醫院林百欣中學,ychlpyss.edu.hk
Ying Wa College,英華書院,yingwa.edu.hk
Ying Wa Girls' School,英華女學校,ywgs.edu.hk
YLPMSAA Tang Siu Tong Secondary School,元朗公立中學校友會鄧兆棠中學,tstss.edu.hk
YLPMSAA Tang Siu Tong Secondary School,元朗公立中學校友會鄧兆棠中學,student.tstss.edu.hk
YPI & CA Lee Lim Ming College,恩平工商會李琳明中學,ypicallmc.edu.hk
Yu Chun Keung Memorial College,余振強紀念中學,yckmc.edu.hk
Yu Chun Keung Memorial College No. 2,余振強紀念第二中學,yck2.edu.hk
Yuen Long Catholic Secondary School,元朗天主教中學,ylcss.edu.hk
Yuen Long Merchants Association Secondary School,元朗商會中學,ylmass.edu.hk
